prio,segment,naam,type,locatie,website,email,beslisser,linkedin,score,hook_kort,marokko_aanbod_al,status,mail_variant,notities
17,D-shop-media,Boardshortz.nl,surfblog + content platform,Online (NL-focus),https://www.boardshortz.nl/,,Jurjen,,5,Jurjen schrijft al review-style content over NL-surfschools — guest-piece of review-trip Zennosurf Marokko voor zijn lezers.,N,cold,media-deal,Sinds 2011. Email via contactformulier. Laagste drempel: content-deal i.p.v. partnership.
18,D-shop-media,De HangOut Wijk aan Zee,beachbar+surfschool+kitesurf,Wijk aan Zee,https://dehangout.nl/,surfschool@dehangout.nl,Bob de Bruin,https://linkedin.com/in/bdbruin/,5,"Bob is óók Creative Brand Director (Salt N Floks) — branding-to-branding gesprek, niet pure shop-pitch.",N,cold,default,Komt in A (score 4) en D (score 5) — primair D. WO-II bunker in duinen als basis.
19,D-shop-media,Jumpteam Scheveningen,surfvereniging (1.600+ leden),Scheveningen,https://www.jumpteam.nl/,bestuur@jumpteam.nl,Bestuur 2024-2025,,5,1.600 leden = enorme funnel; zelfs als 1% boekt = 16 retreaters. Clubreis Marokko voor leden.,N,cold,default,Voorkomt in C (score 4) en D (score 5) — primair D. Grootste branding-sportvereniging NL. Partner HSA NK Surftour.
20,D-shop-media,Mui Magazine,surfmagazine/fotografie,NL-breed,https://rekkab.com/,,Robin Bakker (Rekkab),,5,"Robin's foto-cred (WSL gepubliceerd) — foto-shoot reis-deal = dubbele waarde, voor magazine + Zennosurf visuals.",N,cold,media-deal,Via Instagram @rekkab. High-end fotografie-magazine NL-surf.
21,D-shop-media,Surfana,surfschool+club+hostel+festival,Bloemendaal/Zandvoort/Vlieland,https://www.surfana.com/,info@surfana.com,Rob + Joanne (founders) / Lars (co-founder),,5,Mirror community-model — Surfana Festival + hostel-cultuur = exact dezelfde 'vibe-tribe'-strategie als Zennosurf in Taghazout.,N,cold,default,"Voorkomt in 3 segmenten (A score 3, B score 5, D score 5). Eén entry, hoogste score. Team-trip Spanje (Oyambre), geen klant-Marokko-product. 350 seizoensmedewerkers."
22,C-vereniging,D.W.V. Hardboard,studentenboardsportvereniging,Enschede (UT/Saxion/ArtEZ),https://www.dwvhardboard.nl/,bestuur@dwvhardboard.nl,,,4,Enige board-vereniging in oost-NL — Marokko = oplossing voor structureel 'geen golven thuis' probleem.,N,cold,default,
23,C-vereniging,DROP Delft,studentenboardsportvereniging,Delft (TU),https://dropdelft.nl/,,,,4,"Surf Zomertrip jaarlijks, bestemmingen wisselen — retreat-format past bij 'alles-in-één' cultuur.",N,cold,default,~240 leden (bewust beperkt). 6 crews. Plankenkoorts in dezelfde stad = competitieve dynamiek.
24,C-vereniging,E.S.W.V. WETH,studentenboardsportvereniging,Eindhoven (TU/e),https://eswvweth.nl/,bestuur@eswvweth.nl,,,4,6 weekenden/jaar = aantoonbare reis-frequentie; geen vaste internationale trip = duidelijke gap.,N,cold,default,2027 = 45-jaar lustrum mijlpaal. Schatting 200-300 leden.
25,C-vereniging,G.S.W.V. SurfAce,studentenwindsurfvereniging,Groningen (RUG/Hanze),https://gswv-surface.nl/en/,,,,4,Doen al trips 'and beyond' — Marokko = logische 'beyond'; first-mover voordeel.,N,cold,default,"Schatting 200-300 leden. Trips Zeeland, Denemarken, Frankrijk. Eigen busjes Sambuca + Samurai."
26,C-vereniging,N.S.S.V. Aeolus,studentensurfvereniging (windsurf),Nijmegen (Radboud),https://nssvaeolus.nl/,info@nssvaeolus.nl,,,4,'Hang Loose' motto = Zennosurf-DNA past 1-op-1; klein bestuur = directe besluitvorming.,N,cold,default,~100 leden. Festival-organisators (Surfin' 2026).
27,B-sup-binnenwater,Beaver Creek Wake Park,cable wakepark + camps,Roermond,https://wake-park.nl/,info@wake-park.nl,Sanna / Hannes / Enni / Mads,,4,Runnen al 'Camps & Kurse' weken — concept-match met retreat-format; wakeboarders zijn vaak ook surfers.,N,cold,default,
28,B-sup-binnenwater,Down Under / The Wave,indoor surf+wakepark+beachclub,Nieuwegein,https://downunder.nl/,,,,4,Indoor-surfers willen écht surfen na paar maanden techniek — Marokko = natuurlijke graduation.,N,cold,default,Onderdeel van Brothers Horeca Groep. Email via website.
29,B-sup-binnenwater,ikSUP Loosdrecht,SUP+yoga/fitness,Loosdrecht,https://iksuploosdrecht.nl/,info@iksuploosdrecht.nl,Ingrid,,4,ASI-certificering = kwaliteitsfocus zoals Zennosurf; logische step-up van vlak Loosdrecht naar Marokko-golven.,N,cold,default,
30,B-sup-binnenwater,RIF010 Rotterdam,urban wave pool,Rotterdam centrum,https://rotterdam.info/locatie/rif010/,,,,4,Nieuw publiek ontdekt surfen via Surf Loch — 6 maanden RIF010 = klaar voor echte oceaan.,N,cold,default,Stichting/exploitatie via gemeente Rotterdam. Email via Instagram @rif010_rotterdam DM.
31,B-sup-binnenwater,Soal Surf,surf/kite/wing/SUP,Workum (IJsselmeer),https://soal.surf/,info@soalsurf.nl,,,4,30 jaar in Friesland — kite-klanten zijn vaak warm-water-reizigers (Egypte/Marokko).,N,cold,default,
32,B-sup-binnenwater,SUP Away,SUP-school,Sneek + Heerenveen,https://www.supaway.nl/,frieda@supawayheerenveen.nl,Frieda,,4,12+ jaar in Fryslân; pilates+SUP-fit overlap met Zennosurf yoga-aanbod.,N,cold,default,
33,B-sup-binnenwater,SUP Limburg,SUP+yoga,Roermond (Maasplassen),https://suplimburg.nl/,suplimburg@gmail.com,,,4,12+ jaar community-building op Maasplassen — klanten zoeken steeds vaker buitenland-vervolg.,N,cold,default,Gedeeld team met SUP Maastricht — één mail dekt beide locaties.
34,B-sup-binnenwater,Supvibes,SUP+yoga/fysio,Vinkeveense Plassen,https://www.supvibes.nl/,info@supvibes.nl,,,4,"Fysio-achtergrond = body-aware curriculum, sluit aan bij Zennosurf yoga-pilaar.",N,cold,default,
35,A-kust,Aloha Surf Scheveningen,surfshop+beachclub+surfschool,Scheveningen (Noordelijk havenhoofd),https://www.alohasurf.nl/,surfschool@alohasurf.nl,,,4,500-boards klantbasis = scout-reis voor breedste boardklant van NL.,N,cold,default,Komt in segment A (score 3) en D (score 4) — primair D. Eigenaar TBD via team-page.
36,A-kust,Aquasports Katwijk,surfschool,Katwijk,https://aquasports.nl/,info@aquasports.nl,,,4,"Klein, lean, eigenaar antwoordt waarschijnlijk zelf — underdog die actief zoekt naar nieuwe doelgroep-aanboringen.",N,cold,default,
37,A-kust,De Surf Club Domburg,surfschool,Domburg-west (Zeeland),https://www.desurfclub.com/,info@desurfclub.com,,,4,Wing-foil-upgrade recent — toont innovatie-bereidheid; westelijke positie = exposed-spot voor gevorderden.,N,cold,default,Eigenaar TBD via Instagram @desurfclub.
38,A-kust,Gosurfing Terschelling,surfschool,Formerum aan Zee (Terschelling),https://gosurfingterschelling.nl/,info@gosurfingterschelling.nl,Gossen Smit,,4,'Stand-in-first-lesson'-belofte is sterk persoonlijk merk — gelooft in didaktische kwaliteit.,N,cold,default,
39,A-kust,Surf's Cool!,surfschool,Scheveningen,https://surfscool.nl/,info.surfscool@gmail.com,Maica Levenbach,,4,Naschoolse focus + Pier-locatie — werkt veel met scholen/families.,N,cold,default,
40,A-kust,Surfschool Hoek van Holland,surfschool,Hoek van Holland,https://www.surfschoolhoekvanholland.com/,info@surfschoolhoekvanholland.com,Perry Hoek + Menno van Goor,,4,20-jarig jubileum dichtbij — moment voor community-mijlpaal-reis.,N,cold,default,
41,A-kust,Surfschool Katwijk,surfschool,Katwijk aan Zee,https://www.surfschool-katwijk.nl/,info@surfschool-katwijk.nl,,,4,Surfcamps in NL én Frankrijk — aangetoonde appetijt voor buitenland; logische volgende stap is Marokko.,N,cold,default,"Frankrijk-surfcamps (geen Marokko); SurfKaravaan-tak, verifieer huidige operator."
42,A-kust,Surfschool SurfKaravaan Ouddorp,surfschool,Ouddorp,https://surfschoolouddorp.nl/,ouddorp@surfkaravaan.nl,Frank + Jeroen,,4,"Recent verhuisd naar nieuwe locatie — momentum-fase, openheid voor nieuwe propositie.",N,cold,default,
43,A-kust,Surfschool Veerse Dam,surfschool,Vrouwenpolder (Veerse Meer),https://windsurfschool.nl/,info@windsurfschool.nl,,,4,40-jarig jubileum — senior windsurf-community heeft natuurlijke fascinatie voor echte golven elders.,N,cold,default,
44,A-kust,Surfschool Zandvoort (Rapa Nui),surfschool,Zandvoort,https://www.surfschoolzandvoort.nl/,info@surfzandvoort.nl,,,4,Rapa Nui-locatie in transitie (verkocht aan Hippie Fish) — verbouwings-/herpositioneringsfase.,N,cold,default,Transitie-moment 2026 = open mind.
45,A-kust,Surfvillage Terschelling,surfschool,West-Terschelling,https://www.surfvillage.nl/,info@surfvillage.nl,,,4,1% for the Planet-partner — sustainability-DNA = match met Zennosurf bewuste-traveler positionering.,N,cold,default,Wadden-zomer-only = winter-leegloop = perfect moment voor team naar Marokko.
46,D-shop-media,Freakwave Castricum,surfvereniging,Castricum aan Zee,https://freak-wave.nl/,info@sportsatsea.nl,Bestuur,,4,'Gezelligste surfvereniging van NL' — clubreis Marokko = perfect voor 14-18jr jeugdleden + ouders.,N,cold,default,€25/jaar lidmaatschap. Bij Sports At Sea / De Deining.
47,D-shop-media,Hart Beach,surfshop+school+restaurant,Scheveningen,https://www.hartbeach.nl/,info@hartbeach.nl,Paul + Romke Schuitema,,4,2e-generatie operators — herkennen lange-termijn-merkbouw waar Zennosurf in Marokko aan werkt.,N,cold,default,"Komt in A (score 3) en D (score 4) — primair D. Sinds 1971, Haags begrip, 200+ medewerkers."
48,D-shop-media,Hightide IJmuiden,surfshop+beachclub,IJmuiden aan Zee,https://www.hightidesurfshop.nl/,info@hightidesurfshop.nl,Ivo + Tamar Moorman,https://linkedin.com/in/tamar-moorman-4a8610183/,4,Ivo's 30 jaar watercred = peer-to-peer credibility; Tamar's beachclub = community-tak voor groepsreis.,N,cold,default,
49,D-shop-media,Nalu Surf & Skate Shop,surfshop+skateshop+verhuur,Zandvoort centrum,https://www.nalusb.nl/,info@nalusb.nl,Remco & Tonneke,,4,"Echtpaar-zaak = mirror van Abdul/Dennis dynamic — founders onder elkaar, WhatsApp informeel (06-18197486).",N,cold,default,
50,D-shop-media,Natural High Surfshop Ouddorp,surfshop (kite+wing+golfsurf+skate),Brouwersdam + Ouddorp Duin,https://surfshop.natural-high.nl/,,,,4,Brouwersdam = NL's tweede surfhub na Scheveningen — Zeeuwse klantenkring naar Marokko.,N,cold,default,"Natural High Surfshop B.V., opgericht 2014. Eigenaar TBD via KvK/LinkedIn. Aparte entiteit van Natural High Beachclub."
51,D-shop-media,Soul Magazine / 6|Surf,surfmagazine/uitgever,Castricum (NL+BE),https://soulonline.nl/,info@soulonline.nl,Editor-in-chief,,4,Bestaand portfolio reis-redactionele content — bestemming-feature Taghazout + advertorial-route.,N,cold,media-deal,"Soul Media sinds 1999. Editor TBD via redactie-page. Stetweg 43 C, 1901 JD Castricum."
52,D-shop-media,Surfclub Callantsoog,surfvereniging (community-club),Callantsoog,https://surfclubcallantsoog.nl/,info@surfclubcallantsoog.nl,,,4,Cold-water-cred + beach-cleanup-engagement = ethische positionering match met Zennosurf kleinschalig/lokaal/respect.,N,cold,default,
53,D-shop-media,The Shore Scheveningen,duurzame surfschool,Scheveningen,https://www.theshore.nl/,,,,4,Sustainability-cred (We Are Stewards) matcht Zennosurf's local-Berber-economy story.,N,cold,default,Komt in A (score 3) en D (score 4) — primair D. Rebrand surfles.nl → theshore.nl recent. Email via contactformulier.
54,A-kust,Surfschool Texel (Paal 17),surfschool,"Paal 17, De Koog (Texel)",https://www.surfschool-texel.nl/,info@surfschool-texel.nl,Lex Koelmans,,4,"Lex (29) nam in 2024 over — eerste eigen seizoenen, zoekt onderscheidende producten.",Y,cold,concurrent-uitwisseling,Heeft 'Surf Trip Marokko' in menu — verifieer of eigen product of doorverwijzing vóór mail.
55,C-vereniging,Holland Surfing Association (HSA),koepelorganisatie,Den Haag,https://hsa.nl/,info@hsa.nl,Bondsbestuur,,3,STC-pitch: gratis trainingsweek talenten in off-season Marokko (warmer/betere waves dan NL-winter).,N,cold,default,"Koepel — niet primair reisorganisator, wel kanaal naar talent-team + alle lokale verenigingen."
56,C-vereniging,M.S.Z.V. Lagakari,studenten-zeil/surfvereniging,Maastricht (via MUSST),,,,,3,Secundaire surf-component = ruimte voor groei zonder concurrentie met Stoked (board-focus).,N,cold,default,"Contact via MUSST. <100 leden, zeil-focus dominant."
57,C-vereniging,Watersport Vereniging Zandvoort (WVZ),lokale watersport-vereniging,Zandvoort,https://wvzandvoort.nl/,info@wvzandvoort.nl,,,3,Bestuurs-/hoofdcoach-verkenningsreis logischer dan ledenreis — off-season training-pitch.,N,cold,default,~90 SUP-leden + golfsurfers. Jaarrond actief.
58,B-sup-binnenwater,Cablepark Aquabest,cable wakepark,Best (Eindhoven),https://www.cableparkaquabest.nl/,info@cableparkaquabest.nl,Pieter van Beers,,3,Pieter heeft duale business (cable + fitness-product O2-Trainer) — ondernemer met breed netwerk.,N,cold,default,
59,B-sup-binnenwater,Canal SUP Amsterdam,SUP grachten + groepsbookings,Amsterdam-West,https://www.canalsup.nl/,yannick@canalsup.nl,Yannick,,3,Internationaal cliënteel = warm voor reisaanbod; retreat-partner voor zomer-staf-uitje mogelijk.,N,cold,default,
60,B-sup-binnenwater,SUP Maastricht,SUP-school,Oost-Maarland (Maastricht),https://sup-maastricht.nl/,info@sup-maastricht.nl,,,3,Zusterbedrijf van SUP Limburg — mobiel SUP-bus model op Grindgat Oost-Maarland.,N,cold,default,"Dubbel met SUP Limburg, één mail dekt beide; behouden als aparte rij voor adresgegevens."
61,B-sup-binnenwater,SUP School Domstad,SUP-school,Utrecht centrum,https://supschooldomstad.nl/,,,,3,"Utrecht-publiek (jong, hoog opgeleid) = Zennosurf-doelgroep; Vecht-tour mooie content-overlap.",N,cold,default,
62,B-sup-binnenwater,SUP&Meer Amsterdam,SUP-school,Amsterdamse Bos / Nieuwe Meer,https://www.supenmeer.nl/,,,,3,Eigen clubhuis = community-vibe — bedrijfsuitjes-tak toont B2B-mindset.,N,cold,default,Email via website / +31 20 330 5112.
63,B-sup-binnenwater,SUP4FUN,mobiele SUP-school,Utrecht / Leidsche Rijn,https://sup4fun.nl/,,Silvia Peters,,3,Mobiel-model zoekt jaar-rond nieuwe formats — Marokko-retreat zou winter-aanbod kunnen invullen.,N,cold,default,Beslisser-naam aannemelijk maar onbevestigd.
64,A-kust,Ameland Adventure,surfschool+adventure,Ameland (Nes),https://www.amelandadventure.nl/,info@amelandadventure.nl,,,3,"Surfclub Amelanders = lokale loyale community, exact het soort kring voor community-reis.",N,cold,default,
65,A-kust,Mifune Watersports,surfschool+kite+SUP,Bloemendaal aan Zee,https://mifune.nl/,watersports@mifune.nl,,,3,"Brede watersport-portfolio (catamaran ook) — eigenaar veelzijdig, geen Marokko-aanbod = duidelijk gap.",N,cold,default,
66,A-kust,Noordzee Surfschool,surfschool,Scheveningen Zuid + Kijkduin,https://www.noordzeesurfschool.nl/,info@noordboardstore.nl,,,3,Twee locaties = community-spreiding; Kijkduin rustige niche voor 'top 5 ambassadeurs' format.,N,cold,default,
67,A-kust,Pepsports Zandvoort,surfschool+kite+foil,Zandvoort,https://pepsports.com/,info@pepsports.com,,,3,15+ jaar in Zandvoort + eigen materiaal-opslag voor klanten = vaste loyale community.,N,cold,default,
68,A-kust,Quiksilver Surfschool,surfschool (Quiksilver-licentie),Egmond/Castricum/Camperduin/Petten,https://www.quiksilversurfschool.nl/,nienke@quiksilversurfschool.nl,Nienke,,3,Quiksilver-affiliatie maakt ze gevoelig voor brand-fit — Zennosurf bewuste-positie moet helder zijn.,N,cold,default,
69,A-kust,Sailing & Surfing Centre Brouwersdam,surfschool+watersport,Brouwersdam,https://www.brouwersdam.nl/,,,,3,32-jarig bestaan + watersport+accommodatie combo — ze begrijpen al sleep+surf logistiek.,N,cold,default,Email TBD via telefoon +31 111 671 723.
70,A-kust,The Spot Zandvoort,surfschool,Zandvoort,https://gotothespot.com/,,,,3,High-performance team + Red Bull/O'Neill — gevorderde-niche wil power-waves in Marokko.,N,cold,default,Email TBD via site.
71,D-shop-media,Backyard Surf Shop,surfshop+strand-verhuur,Egmond aan Zee,https://backyardsurfshop.nl/,info@backyardsurfshop.nl,Jeffry Wesselingh,https://linkedin.com/in/jeffry-wesselingh-700b5a187/,3,Recente ownership-shift (Beach & Waves overname) = momentum + nieuwe energie — past internationale tak.,N,cold,default,Eigendoms-shift checken vóór mail.
72,D-shop-media,Brunotti,NL board-sports brand + surfcamp,HQ Amersfoort + Katwijk + Oostvoorne,https://www.brunotti.com/,contact@brunottisurfcamps.com,Claudio Brunotti / Marketing-lead TBD,,3,Eigen Brunotti Surfcamp in Katwijk = lokale tak — Zennosurf = warm-water-extensie voor klanten die na NL-camp Marokko willen.,N,cold,default,"Sinds 1979. 50+ medewerkers, 38 landen. Lange beslis-cyclus."
73,D-shop-media,Noordzee Boardstore,surfshop+webshop,Scheveningen (Badhuisstraat),https://noordzeeboardstore.nl/,noordzeeboardstore@gmail.com,Local crew (anoniem),,3,Underdog-positionering — peer-vibe sterker dan met groten ('wij ook geen corporate-retreat').,N,cold,default,Sinds 2010. Outlet-tak surfoutlet.eu.
74,D-shop-media,Telstar Surf,wind+kite+SUP+wakeboard mega-shop,Ermelo + Strand Horst,https://www.telstarsurf.nl/,,Marc Schraverus,https://nl.linkedin.com/in/marc-schraverus-a9107418,3,Wind/kite-klant heeft latente golfsurf-vraag — cross-discipline warm-water-uitje pitch.,N,cold,default,"Binnenwater-DNA (Veluwemeer), lichter golfsurf-overlap. Email via contact-page."
75,A-kust,Tasha's Surfcamp,surfschool,Scheveningen + Texel + Kijkduin,https://tashasurfcamp.com/,natasha@tashasurfcamp.com,Natasha Smit,,3,Concurrent → potentieel co-host: Imsouane vs Tamraght/Taghazout = uitbreiding-friendly.,Y,cold,concurrent-uitwisseling,Sterk Marokko-aanbod via Dar Naima Imsouane. Concurrent én potentieel partner via locatie-verschil.
76,B-sup-binnenwater,Wakepark Groningen,cable wakepark,Groningen,https://wakeparkgroningen.nl/,,Eun Leij,,2,Noordelijke board-sport community is klein-en-trouw — community-trip naar Marokko = sterke binding.,N,cold,default,Email via website/socials.
